01, 变量重定义variable redefined, 01_variable_redefinition.c1
02, 函数重定义function redefined, 02_func_redefinition.c1
03, 使用了未定义左值undefined left-val is used, 03_undefined_lval.c1
04, 使用了未定义函数undefined function is used, 04_undefined_function.c1
05, 返回值不合法invalid return(return an integer in void function...), 05_invalid_return.c1
06, 以非正整数初始化数组大小initiate array size isn't positive integer, 06_array_size.c1
07, 数组索引维度超出array index dimension out of size, 07_array_index_dim_outof_size.c1
08, 索引越界index out of bound(each dimension), 08_index_outof_bound.c1
09, 类型转换错误cast error (e.g. void can't be cast to integer), 09_error_cast.c1
10, 定义数组使用了动态大小initiate array size with dynamic variable, 10_dynamic_array_size.c1
11, 不能对常量赋值try to modify a const variable, 11_const_lval.c1
12, 数组索引不是整数index of array isn't integer, 12_index_not_int.c1
13, 并非数组(如a[0]而a不是数组)not an array(like using a[0], while a is just an integer), 13_not_array.c1
14, 操作数为void类型operating void variable(e.g. integet+void), 14_operate_void.c1
15, 主函数必须返回int main function should return int, 15_main_not_return_int.c1
16, 用非常量初始化常量initiate const variable with non-const variable, 16_init_const_with_nonconst.c1
17, 对float类型用取余运算modulo(%) can't be used for float, 17_modulo_float.c1
18, 没有main函数报错no main function warning, 18_no_main.c1
19, 隐式类型转换警告implicit cast warning(e.g int a = 1.0), 19_implicit_cast.c1
20, 变量未使用警告variable wasn't used, 20_variable_not_used.c1
21, 返回值不是void的函数没有返回a non-void function has no return statement, 21_no_return.c1
22, 太多初始化值too many initializer, 22_too_many_initializer.c1
23, 单目运算符只能用于整型和浮点型unary can only be used for integer/float, 23_unary_to_void.c1
